iter	Passed	Remaining
0	192	384819
1	385	384658
2	585	389480
3	774	386345
4	969	386938
5	1155	383993
6	1344	382806
7	1539	383290
8	1729	382557
9	1913	380832
10	2098	379403
11	2281	377887
12	2464	376690
13	2661	377590
14	2847	376842
15	3033	376199
16	3216	375164
17	3402	374618
18	3597	375040
19	3778	374112
20	3960	373225
21	4140	372275
22	4329	372127
23	4508	371203
24	4681	369875
25	4869	369670
26	5065	370147
27	5253	369974
28	5439	369702
29	5631	369815
30	5817	369474
31	6004	369302
32	6192	369112
33	6394	369765
34	6590	369995
35	6778	369793
36	6973	369970
37	7161	369778
38	7338	368993
39	7524	368679
40	7714	368624
41	7900	368301
42	8078	367677
43	8268	367586
44	8453	367266
45	8637	366918
46	8831	366972
47	9016	366656
48	9202	366402
49	9391	366286
50	9579	366076
51	9777	366295
52	9974	366438
53	10165	366333
54	10346	365902
55	10537	365801
56	10738	366056
57	10930	365968
58	11113	365630
59	11317	365921
60	11501	365601
61	11689	365390
62	11874	365097
63	12062	364887
64	12250	364700
65	12449	364807
66	12632	364463
67	12827	364463
68	13024	364494
69	13212	364274
70	13408	364298
71	13597	364112
72	13779	363733
73	13964	363453
74	14148	363138
75	14328	362749
76	14502	362187
77	14678	361695
78	14860	361354
79	15033	360813
80	15213	360438
81	15387	359908
82	15564	359487
83	15744	359114
84	15913	358521
85	16092	358143
86	16266	357667
87	16444	357290
88	16623	356946
89	16799	356532
90	16972	356046
91	17152	355721
92	17328	355318
93	17512	355088
94	17699	354924
95	17874	354516
96	18058	354274
97	18246	354126
98	18424	353788
99	18596	353328
100	18766	352841
101	18940	352434
102	19117	352093
103	19290	351685
104	19468	351357
105	19647	351068
106	19822	350694
107	20007	350501
108	20188	350246
109	20367	349956
110	20547	349682
111	20726	349387
112	20903	349068
113	21091	348931
114	21268	348613
115	21442	348262
116	21618	347922
117	21799	347680
118	21983	347491
119	22161	347191
120	22330	346767
121	22516	346603
122	22695	346343
123	22869	345988
124	23048	345723
125	23230	345500
126	23406	345194
127	23578	344842
128	23756	344560
129	23943	344425
130	24119	344110
131	24305	343957
132	24479	343626
133	24651	343278
134	24839	343158
135	25018	342896
136	25198	342656
137	25379	342433
138	25556	342159
139	25735	341910
140	25921	341754
141	26096	341456
142	26269	341131
143	26451	340932
144	26624	340611
145	26809	340440
146	26998	340328
147	27176	340071
148	27394	340319
149	27565	339971
150	27741	339695
151	27916	339400
152	28096	339172
153	28284	339052
154	28465	338830
155	28640	338540
156	28826	338394
157	29006	338162
158	29181	337878
159	29363	337681
160	29537	337384
161	29717	337160
